Row,id11005,id11548,id11549,id11943,id11944,id11951,id13835,id16276,id551,id621,id869
id11005,1,1,0.6,0.8,1,0.8,1,0.8,0.8,0.6,0.8
id11544,0.5,1,1,1,1,0.5,1,1,1,1,1
id11548,0.615384615384615,1,0.692307692307692,0.769230769230769,0.769230769230769,0.692307692307692,0.875,0.923076923076923,0.923076923076923,0.692307692307692,0.75
id11549,0.8,0.8,1,0.6,1,0.6,0.75,0.8,0.8,0.4,0.5
id11943,0.666666666666667,1,0.777777777777778,1,0.888888888888889,0.777777777777778,1,0.888888888888889,0.777777777777778,0.777777777777778,0.875
id11944,0.777777777777778,0.888888888888889,0.888888888888889,0.888888888888889,1,0.888888888888889,0.8,1,0.888888888888889,0.75,0.875
id11947,0.666666666666667,1,1,1,1,1,1,1,1,0.666666666666667,1
id11951,1,1,0.6,1,0.8,1,1,1,1,0.75,1
id13835,0.6,1,0.8,0.8,0.8,0.6,1,0.8,0.8,0.6,0.5
id13964,1,1,1,1,1,1,1,1,1,0,1
id16276,0.6,0.8,0.6,0.8,0.4,0.6,1,1,0.75,0.4,0.875
id2378,1,1,1,1,1,1,1,1,1,0.75,1
id551,1,1,0.6,1,0.6,1,1,1,1,0.75,1
id592,1,1,1,1,1,1,1,1,1,1,1
id621,0.5,1,1,1,1,0.75,1,1,1,1,1
id869,0.75,1,1,1,1,1,1,1,1,0.75,1
