bill_number,bill_id,title
LB1,448250,"Revisor bill to repeal an obsolete section relating to a report relating to human trafficking"
LB2,448246,"Revisor bill to repeal obsolete sections relating to appropriations"
LB3,448243,"Provide penalty for fraudulent filings, change nonconsensual common-law lien provisions, and adopt the Commercial Real Estate Broker Lien Act"
LB4,448237,"Change Nebraska Health Care Cash Fund transfer provisions"
LB5,448233,"Exempt social security benefits and military retirement income from income taxation"
LB6A,526380,"Appropriation Bill"
LB6,448230,"Create the Nebraska Commission on Problem Gambling"
LB7,448226,"Change and eliminate provisions relating to signatures and seals under the Engineers and Architects Regulation Act"
LB8,448224,"Provide for coverage of children's day services under medicaid and social services"
LB9,448218,"Change provisions relating to transportation for students in learning communities"
LB10,448215,"Change and eliminate provisions relating to occupant protection systems"
LB11,448211,"Change provisions relating to surcharges for 911 service"
LB12,448207,"Change product liability action statute of limitations"
LB13,448202,"Require radon resistant construction for residential construction and create a building codes task force"
LB14,448198,"Adopt the Elementary and Secondary Educational Opportunity Act and provide for income tax credits"
LB15,448194,"Change Pesticide Act provisions"
LB16,448190,"Change provisions relating to title to Champion Mill State Historical Park"
LB17,448188,"Exempt social security benefits from state income taxation"
LB18,448182,"Prohibit members of the Legislature and certain constitutional officers from participating in the state insurance program"
LB19,448176,"Change provisions of the Conveyance Safety Act"
LB20,448174,"State intent relating to appropriations for the rural health provider incentive program"
LB21,448168,"Eliminate a Nebraska Workers' Compensation Act sunset provision for certain benefits"
LB22,448164,"Change Parenting Act provisions relating to parenting plans"
LB23A,548481,"Appropriation Bill"
LB23,448160,"Change ICF/MR reimbursement provisions and mental retardation terminology"
LB24,448156,"Update references to the Internal Revenue Code"
LB25,448152,"Change provisions relating to the cigarette tax and the tobacco products tax"
LB26,448146,"Change the commission allowed to stamping agents for the cigarette tax"
LB27,448143,"Change experience requirements under the Public Accountancy Act"
LB28,448139,"Change a late filing penalty relating to personal property tax"
LB29,448134,"Change and eliminate provisions relating to tax lists and provide a duty for county treasurers for recording tax assessments and collections"
LB30,448130,"Change distribution of motor vehicle certificate of title fees"
LB31,448126,"Change provisions relating to parking permits for temporarily handicapped or disabled persons"
LB32,448122,"Change provisions relating to historical vehicle license plates"
LB33,448119,"Authorize tax collection agreements and change lien, levy, and penalty provisions"
LB34,448116,"Change provisions of the Nebraska Advantage Act"
LB35,448109,"Adopt and update references to certain federal provisions related to motor vehicles"
LB36,448107,"Change an exemption to the documentary stamp tax"
LB37,448098,"Change provisions relating to powers of personal representative with respect to a decedent's Internet sites"
LB38,448092,"Change provisions relating to testamentary powers"
LB39,448090,"Change and eliminate references to the Legislative Performance Audit Section"
LB40,448086,"Update references to Government Auditing Standards"
LB41,448080,"Provide for permanent early voting request list and return of early voting ballots to polling places"
LB42,448078,"Change credentialing requirements for administrators of facilities for persons with head injuries"
LB43,448071,"Change provisions relating to a property tax exemption"
LB44,448068,"Change criminal penalty and parole provisions relating to offenses committed by persons under eighteen years of age"
LB45,448065,"Change judge eligibility requirements for the Court of Appeals"
LB46,448063,"Provide for consolidation and coordination of crime laboratories"
LB47,448058,"Change provisions relating to career academies"
LB48,448053,"Change provisions relating to housing agencies"
LB49,448047,"Require a joint committee to develop a plan for creating a joint housing agency"
LB50,448044,"Prohibit unreasonable placement of a firearm where a minor may unlawfully possess it"
LB51,448042,"Change provisions relating to publication of court opinions"
LB52,448036,"Change employment provisions for persons committed to the Department of Correctional Services"
LB53,448032,"Change provisions relating to sales and use tax with respect to the sale of a business or stock of goods"
LB54,448460,"Change display of credential and advertisement provisions under the Uniform Credentialing Act"
LB55,448021,"Change provisions relating to reassumption of assessment function by counties"
LB56,448019,"Provide for automatic nomination of certain county officers"
LB57,448013,"Change provisions relating to grants from the Nebraska Environmental Trust Fund"
LB58,448010,"Adopt the Workplace Privacy Act"
LB59,448006,"Change a presumption relating to rebates to insurance agents"
LB60,448003,"Change the livestock brand inspection area boundaries"
LB61,448000,"Change provisions relating to the Financial Data Protection and Consumer Notification of Data Security Breach Act of 2006"
LB62,447993,"Change levy provisions for rural and suburban fire protection districts"
LB63,447991,"Change distribution of certain sales and use tax revenue"
LB64,447986,"Change provisions relating to deductions of refunds from municipal sales tax receipts"
LB65,447984,"Authorize counties to set sheriff's fees and commissions"
LB66,447980,"Provide for redevelopment of formerly used defense sites under the Community Development Law"
LB67,447975,"Change provisions of the Nebraska Milk Act"
LB68,447972,"Change provisions of the Plant Protection and Plant Pest Act"
LB69,447968,"Change provisions of the Pesticide Act"
LB70,447965,"Change Nebraska Dairy Industry Development Board membership provisions"
LB71,447961,"Require insurance coverage for cochlear implants"
LB72,447959,"Change provisions relating to use of interest-bearing trust accounts under the Nebraska Real Estate License Act"
LB73,447953,"Change interstate simulcast facility license requirements"
LB74,447944,"Exempt social security benefits from state income taxation"
LB75,447941,"Exempt military retirement benefits from taxation as prescribed"
LB76,447935,"Adopt the Health Care Transparency Act"
LB77,447931,"Adopt the Nebraska Iran Divestment Act"
LB78,447928,"Eliminate an authority, a board, and certain committees and commissions"
LB79A,539028,"Appropriation Bill"
LB79,447923,"Change political accountability and disclosure provisions and repeal campaign finance laws"
LB80,447921,"Change motor vehicle liability insurance and financial responsibility requirements"
LB81,447916,"Provide an income tax deduction for corporate dividends"
LB82,447912,"Adopt the Taxpayer Investment Program"
LB83,447908,"Change requirements for use of turn signals"
LB84,447903,"Change provisions relating to the operation of utility-type vehicles"
LB85,447899,"Authorize vehicular traffic weighing less than one thousand pounds to proceed through a traffic light after stopping"
LB86,447893,"Authorize inspection and regulation of staff secure juvenile facilities"
LB87,447890,"Change procedures for filling certain airport authority board vacancies"
LB88,447885,"Change zoning provisions for cities of the primary class"
LB89,447883,"Provide immunity from liability for providing shelter during a weather event"
LB90,447877,"Change sales tax provisions on the furnishing of electricity service"
LB91,447875,"Change provisions regarding geologists"
LB92,447869,"Prohibit use of credit information for insurance and repeal a model act"
LB93,447863,"Provide for notation of veteran status on drivers' licenses and state identification cards and provide for a registry of veterans"
LB93A,549841,"Appropriation Bill"
LB94,447861,"Change hunting permit provisions"
LB95,447857,"Adopt the Employee Credit Privacy Act"
LB96,447851,"Exempt repair or replacement parts for agricultural machinery and equipment from sales and use tax"
LB97,447848,"Adopt the Nebraska Municipal Land Bank Act and authorize land banks to acquire tax-delinquent properties"
LB98,447842,"Change provisions relating to administrative rules"
LB99,447840,"Change provisions relating to racial profiling and the Nebraska Crime Victim's Reparations Act"
LB100,447837,"Eliminate a notice requirement with respect to automatic teller machines"
LB101,447834,"Change valuation of agricultural land and horticultural land"
LB102,447828,"Change requirements for certain water permit applications"
LB103,447825,"Change judges' general powers"
LB104,447821,"Change sales and use tax increases under the Local Option Revenue Act and provide tax incentives for renewable energy projects under the Nebraska Advantage Act"
LB105,447818,"Require child care licensees to obtain liability insurance"
LB106,447814,"Adopt the Uniform Unsworn Foreign Declarations Act and change provisions relating to perjury"
LB107,447809,"Change waiver of hearing provisions under the Parenting Act"
LB108,447807,"Prohibit counties, cities, and villages from imposing credentialing requirements"
LB109,447805,"Provide requirements for precious metals dealers"
LB110,447803,"Change the eligibility determination for homestead exemptions"
LB111,448526,"Authorize a city of the first or second class or village to adopt a biennial budget"
LB112,448586,"Change powers and duties of city and village clerks and treasurers as prescribed"
LB113,448647,"Provide for mayors of cities of the second class to vote in certain situations"
LB114,448703,"State intent relating to an appropriation to the University of Nebraska at Omaha"
LB115,449471,"Change provisions relating to homicide"
LB116,449469,"Provide requirements for dual-enrollment courses"
LB117,449467,"Change provisions relating to permits for overweight vehicles"
LB118,449463,"Change texting enforcement provisions"
LB119,449459,"State intent relating to appropriations for Public Health Aid"
LB120,449458,"Change provisions of the Uniform Residential Landlord and Tenant Act"
LB121,449454,"Provide for waiver of a Nebraska certificate to administer"
LB122,449452,"Appropriate funds to the Department of Economic Development"
LB123,449450,"Change distribution of indigent defense fees"
LB124,449447,"Change provisions relating to grandparent visitation"
LB125,449444,"Change provisions relating to boards of education of Class V school districts"
LB126,449439,"Provide for grants from the Court Appointed Special Advocate Fund"
LB127,449436,"Provide for preregistration to vote for 16 and 17 year olds"
LB128,449434,"Change the offense of obstructing a peace officer"
LB129,449430,"Change the compensation for members of the Board of Educational Lands and Funds"
LB130,449428,"Provide and eliminate transfers from the Cash Reserve Fund"
LB131,449426,"Adopt the Tobacco-Free Schools Act"
LB132,449423,"Adopt the Indoor Tanning Facility Act and change membership provisions for boards appointed under the Uniform Credentialing Act"
LB133,449420,"Provide priority of insurance coverage relating to motor vehicle dealer loaner vehicles"
LB134,449419,"Provide for inheritance by issue conceived after death"
LB135,449414,"Prohibit employment of a member of a community college boards of governors by the community college area he or she serves"
LB136,449411,"Provide for the distribution of administrative fines and costs and forfeited property"
LB137,449409,"Establish state fleet card programs"
LB138,449407,"Create the Group Health Trust Fund and provide for investment and provide duties for the State Treasurer"
LB139,449403,"Change vital statistics information relating to annulment and dissolution of marriage"
LB140,449401,"Change provisions of the Airport Zoning Act"
LB141,449399,"Change court procedures for the Nebraska Workers' Compensation Court"
LB142,449391,"Provide that probation records are not subject to disclosure as prescribed"
LB143,449390,"Authorize schools to adopt a child sexual abuse policy as prescribed"
LB144,449388,"Provide for write-in candidacy by defeated candidate"
LB145,449383,"Change valuation of agricultural land and horticultural land"
LB146,449381,"Change provisions relating to funds transfers under the Uniform Commercial Code"
LB147,449380,"Adopt the Health Carrier External Review Act"
LB148,449377,"Include ammunition in certain offenses involving firearms"
LB149,449373,"Provide for biennial reviews of state agency programs and services"
LB150,449372,"Change provisions relating to the sale of natural gas by metropolitan utilities districts and exempt certain purchases of energy and fuel from sales tax"
LB151,449368,"Provide a hearsay exception for certain documents and data kept in the regular course of business"
LB152,449366,"Change eminent domain negotiations"
LB153,449364,"Change the Civic and Community Center Financing Act"
LB153A,539005,"Appropriation Bill"
LB154,449361,"Redefine road assistance vehicle relating to drivers' duties to move over"
LB155,449359,"Change provisions relating to deposits of public funds in excess of insured or guaranteed amounts"
LB156,450508,"Eliminate a report made to the Department of Health and Human Services by counties utilizing a community service program"
LB157,450512,"State intent relating to the appropriation of funds in support of dental services"
LB158,450517,"Change provisions relating to eligibility for and use of ignition interlock devices"
LB159,450521,"Provide and change sales tax provisions relating to gold, silver, and platinum and provide a tax amnesty"
LB160,450525,"Provide for electronic signatures on recall, initiative, and referendum petitions"
LB161,450530,"Change a penalty for violation of building ordinances or regulations of a city of the metropolitan class"
LB162,450532,"Provide for notification of eligibility for an associate degree as prescribed"
LB163,450537,"Provide for a report on education credentials and workforce needs"
LB164,450541,"Change motor vehicle auction provisions"
LB165,450546,"Change provisions relating to motor vehicle dealer warranty service"
LB166,450551,"Change labeling requirements for lawn and turf seed containers"
LB167,450555,"Change balloting and vacancy provisions for presidential electors"
LB168,450559,"Authorize series limited liability companies"
LB169,450562,"Change provisions relating to jury commissioners"
LB170,450568,"Rename and expand the purpose of the Nebraska Educational Finance Authority Act"
LB171,450572,"Provide for an expedited concealed handgun permit process for applicants who are victims of domestic violence"
LB172,450575,"Change court filings for guardianships and conservatorships"
LB173,450581,"Change provisions relating to documentary proof of age under the Nebraska Liquor Control Act"
LB174,450588,"Change penalties for violation of ordinances or regulations and provisions on load contents and spillage in cities of the metropolitan class"
LB175,450590,"Change the persons authorized to represent Nebraska under the streamlined sales and use tax agreement"
LB176,450596,"Exempt military retirement benefits from taxation as prescribed"
LB177,450600,"Provide enforcement and penalty provisions to the Nebraska Wage Payment and Collection Act"
LB178,450603,"Change provisions relating to transportation reimbursement and state aid relative to learning communities"
LB179,450609,"Eliminate learning communities"
LB180,450613,"Provide for the waiver of education-related fees for dependents of veterans"
LB181,450616,"Prohibit motorcycle passengers less than eight years old"
LB182,450621,"Change paternity provisions for a child conceived as a result of sexual assault"
LB183,450625,"Provide for county board appointment of election commissioners"
LB184,450631,"Appropriate funds for the Nebraska Wind Applications Center"
LB185,450635,"Authorize state assistance for streamflow enhancement projects undertaken by natural resources districts"
LB186,450639,"Restrict rule and regulation authority of natural resources districts"
LB187,450642,"Appropriate funds to the Department of Health and Human Services to fund the Dental Health Director"
LB188,450646,"Require legislative approval of gubernatorially appointed election commissioners"
LB189,451214,"Change provisions and penalties relating to occupant protection systems"
LB190,450655,"Appropriate funds for the Early Childhood Education Endowment Cash Fund"
LB191,450658,"Adopt the Nebraska Job Creation and Mainstreet Revitalization Act, provide tax credits, and change certain valuation provisions as prescribed"
LB191A,629877,"Appropriation Bill"
LB192,450661,"Change provisions relating to requests for information by the Auditor of Public Accounts"
LB193,450663,"Change funding for the Nebraska Cultural Preservation Endowment Fund"
LB194,452490,"Provide for deficit appropriations"
LB195,452485,"Appropriate funds for state government expenses"
LB196,452479,"Appropriate funds for salaries of members of the Legislature"
LB197,452471,"Appropriate funds for salaries of constitutional officers"
LB198,452464,"Appropriate funds for capital construction and property acquisition"
LB199,452458,"Provide fund transfers, create funds, authorize the sale of lands, and change provisions relating to grants as prescribed"
LB200,452452,"Provide for transfers from the Cash Reserve Fund"
LB201,452444,"Authorize emergency expenditures by school districts and educational service units"
LB202,452439,"Change provisions relating to DNA collection"
LB203,452427,"Change provisions relating to solid waste under the Environmental Protection Act"
LB204,452421,"Change and provide criminal sanctions regarding animals and animal facilities"
LB205,452415,"Change provisions relating to application of the Securities Act of Nebraska"
LB206,452408,"Require secret-ballot envelopes for mailed ballots"
LB207,452401,"Change motor vehicle registration provisions"
LB207A,486288,"Appropriation Bill"
LB208,452392,"Change provisions relating to metropolitan utilities districts"
LB209,452389,"Change provisions relating to publication of trade names"
LB210,452381,"Provide remedies and procedures regarding unauthorized financing statement filings"
LB211,452372,"Change and eliminate provisions relating to statewide coordination of community college boards"
LB211A,507965,"Appropriation Bill"
LB212,452368,"Change court-ordered parenting plan provisions of the Parenting Act"
LB213,452354,"Change provisions relating to financial institutions"
LB214,452351,"Change provisions relating to securities and seller-assisted marketing plans"
LB215,452342,"Change provisions relating to use of the County Visitors Improvement Fund"
LB216A,552639,"Appropriation Bill"
LB216,452334,"Adopt the Young Adult Voluntary Services and Support Act"
LB217,452331,"Change constitutional officers' salaries"
LB218,452322,"Require insurance coverage for certain food formulas as prescribed"
LB219,452314,"Change petition requirements for general election ballot"
LB220,452308,"Change children's eligibility provisions relating to the Medical Assistance Act"
LB221,452302,"Change dental hygienist training and authorized functions"
LB222,452296,"Change provisions regarding certain reports submitted electronically to the Legislature"
LB223,452284,"Redefine utility-type vehicles"
LB224,452277,"Provide a preference for awarding state contracts to resident disabled veterans and certain businesses"
LB225,452271,"Adopt the Newborn Critical Congenital Heart Disease Screening Act"
LB225A,512688,"Appropriation Bill"
LB226,452265,"Regulate dealers in the business of purchasing and reselling precious items"
LB227,452259,"Exclude retirement benefits from state income taxation"
LB228,452251,"Provide requirements relating to copayments, coinsurance, and deductibles relating to certain services"
LB229,452244,"Change the Nebraska Retirement Fund for Judges fee"
LB230,452238,"Change shipping license provisions under the Nebraska Liquor Control Act"
