bill_number,bill_id,title
HB1,435126,"Unborn children; construing the word ""person"" under Virginia law to include."
HB8,435127,"Vessel accident; requires passengers 18 years of age or older to report, penalty."
HB10,435128,"BPOL tax; maximum fee and tax rates established by a locality."
HB40,437853,"Coastal primary sand dunes; standards for use, exemption."
HB48,435130,"Castle doctrine; self-defense and defense of others."
HB55,435131,"Primary dates; presidential primary."
HB59,435132,"Elections; persons entitled to have name placed on ballot, etc."
HB73,437854,"VIEW; substance abuse screening and assessment of public assistance applicants and recipients."
HB82,437858,"Real property tax; roll-back taxes shall not apply to property that loses its designation, etc."
HB107,435134,"Richmond Metropolitan Authority; composition of Board of Directors, powers."
HB111,435136,"Small business job creation tax credit; creates credit for those creating new full-time jobs."
HB129,435137,"Electric utilities; purchases from net metering sellers."
HB130,435138,"Income tax, state; military retirement pay subtraction."
HB131,435140,"Income tax, state; tax credit for disabled military veterans."
HB149,435141,"Income tax, corporate; lower rate for certain businesses."
HB158,435142,"Devocalization of cats and dogs; veterinarians to keep records of procedures, etc., penalty."
HB159,435144,"Nursing home patients; notice to Long-Term Care Ombudsman when patient is discharged or transferred."
HB162,435145,"Telecommunications services; SCC to excercise jurisdiction over rates and charges for prisoners."
HB168,435146,"Campaign practices; final disposition of surplus funds by General Assembly members."
HB173,435147,"Interpreters; cost shall be borne by non-English-speaking defendant if he is convicted of offense."
HB182,435151,"License plates, special; issuance of those bearing legend: PEACE BEGINS AT HOME."
HB186,435152,"Sewage sludge; authorizes a locality to prohibit land application of."
HB191,435153,"Small businesses; tax credit for those hiring graduates of Virginia's colleges and universities."
HB207,435155,"Retail Sales and Use Tax; exemption includes gold, silver, and platinum bullion."
HB208,435156,"Virginia Retirement System; retirees hired as school board security personnel."
HB218,435157,"Deaf and hard-of-hearing children; special education."
HB219,435159,"Unemployment benefits; volunteer service requirement, report."
HB228,435160,"Income tax, corporate; credit for contracting with small or minority-owned businesses."
HB230,435161,"Alcoholic beverage control; suspension of license for local tax delinquency."
