bill_number,bill_id,title
HB1,213367,"Elections for state officers; change day of week to Saturday."
HB2,213368,"Chancery clerks; revise monies to be included within salary limitation."
HB3,213369,"Revenue from motor vehicle parking lots and garages operated by airport authorities; exempt from state, county and local sales tax."
HB4,213370,"Lobbyists; prohibit agencies, universities and colleges from hiring contract lobbyists with public funds."
HB5,213371,"State institutions; patients admitted for less than six months not required to pay social security disability benefits to the institution."
HB6,213372,"Retirement; exclude value of noncash maintenance furnished to PERS members for retirement purposes."
HB7,213373,"Mental Health, Department of; revise qualifications for executive director of."
HB8,213374,"Mental Health, Department of; employees who are provided housing on facility grounds must pay rent."
HB9,213375,"State Board of Mental Health; reconstitute membership of."
HB10,213376,"State law enforcement officers; not required to use personal or major medical leave when injured in line of duty."
HB11,213377,"Medicare Advantage plans &amp; Prescription Drug plans; provide civil &amp; criminal penalties for violating federal marketing restrictions on."
HB12,213378,"Extracurricular and athletic activities; require students to maintain a 2.0 weekly grade point average for participation in."
HB13,213379,"Ethics violation; revise enforcement provisions for charges against a public body."
HB14,213380,"University of Mississippi Medical Center - Act Center Fund; require annual transfer of funds from State General Fund to."
HB15,213381,"Sales tax; exempt sales of nonperishable food to certain charitable organizations."
HB16,213382,"Loans; create the Mississippi Alternative Loan Act."
HB17,213383,"Radar; prohibit use within 1,000 feet of posted point where speed limit is reduced."
HB18,213384,"Whistleblower Law; provide for damages."
HB19,213385,"Sales tax; exempt retail sales of certain clothing and school supplies on third Saturday in July and first Saturday in December."
HB20,213386,"Income tax; revise time within which Department of Revenue must refund overpayment before taxpayer may petition for hearing."
HB21,213387,"Retirement medical benefits account; establish for state officers and employees."
HB22,213388,"Income tax; authorize an adjustment to gross income for higher education tuition, fees and other costs."
HB23,213389,"Income tax; authorize fuel cost adjustment to gross income."
HB24,213390,"Income tax; provide credit to contractors for homes constructed in accordance with certain Green standards."
HB25,213391,"Homestead exemption; increase for totally disabled veterans and extend to unremarried surviving spouses of such veterans."
HB26,213392,"Sales tax; exempt retail sales of hearing aids."
HB27,213393,"Income tax; provide credit for taxpayer paying home security expenses for primary residence."
HB28,213394,"Ad valorem taxation; revise definition of ""head of a family"" and ""home"" or ""homestead"" under the homestead exemption law."
HB29,213395,"Fax solicitations, certain; prohibit under Mississippi Telephone Solicitation Act."
HB30,213396,"Homestead exemption; increase."
HB31,213397,"Ad valorem tax; revise date and amount for which cities/counties may allow partial payments, revise interest rate on unpaid taxes."
HB32,213398,"Sales tax; exempt sales of utilities to churches."
HB33,213399,"Sales tax; reduce rate on retail sales of motorcycles."
HB34,213400,"Homestead exemption; increase."
HB35,213401,"Eminent domain; restrict use of."
HB36,213402,"Lawsuits; plaintiff liable for defendant's costs if defendant prevails."
HB37,213403,"Lien; allow for hospitals against damages recovered by patient."
HB38,213404,"Homestead exemption; provide for certain owners of manufactured homes or mobile homes."
HB39,213405,"Budget; prohibit certain actions by state agencies during current and next fiscal years."
HB40,213406,"Income tax; authorize a deduction for contributions to qualified tuition programs."
HB41,213407,"Ad valorem tax; bring forward certain sections of law regarding assessment of property for purposes of."
HB42,213408,"School of the Arts; close at Brookhaven campus and relocate on campus of MUW."
HB43,213409,"School cafeteria workers; provide state funded health insurance on a phased-in basis."
HB44,213410,"Lobbying; prohibit legislator from engaging in for four years after leaving office."
HB45,213411,"Indecent exposure; revise penalties."
HB46,213412,"I.B. Diploma Program; require IHL to grant minimum credit to certain graduates of."
HB47,213413,"Uniform laws; enact Uniform Prudent Management of Institutional Funds Act."
HB48,213414,"Uniform laws; enact Uniform Interstate Deposition and Discovery Act."
HB49,213415,"Uniform laws; enact Uniform Real Property Electronic Recording Act."
HB50,213416,"Euclatubba Road; name bridge over U.S. Highway 45 as the ""Euclatubba Memorial Crossing."""
HB51,213417,"Motor vehicle liability insurance; remove provision allowing penalty reduction if person produces new policy in court."
HB52,213418,"Wireless interactive communication; prohibiting use of by person operating a motor vehicle."
HB53,213419,"Municipal utility districts, certain; place under jurisdiction of the Public Service Commission."
HB54,213420,"Immigration; support our Law Enforcement and Safe Neighborhoods Act of 2011."
HB55,213421,"Uniform laws; create Uniform Adult Guardianship and Protective Proceedings Jurisdiction Act."
HB56,213422,"Personal care home licensure; delete reverter on exemption for private residences in which those services are provided to veterans."
HB57,213423,"Personal care home licensure; extend reverter on exemption for private residences in which those services are provided to veterans."
HB58,213424,"Medicaid; bring forward certain sections for purposes of amendment."
HB59,213425,"Highways; require MDOT install rumble strips along shoulders of newly constructed or resurfaced roadways."
HB60,213426,"Religious Viewpoints Antidiscrimination Act/Schoolchildren's Religious Liberties Act; create."
HB61,213427,"Workers' compensation; revise criteria for drug and alcohol testing, increase benefits for disfigurement, vocational rehab and death."
HB62,213428,"School start date; restrict local school boards from starting school year before Labor Day."
HB63,213429,"Ad valorem tax; exempt business inventories from."
HB64,213430,"Workers' Compensation Law; define purpose to be impartially construed."
HB65,213431,"Uninsured motorist coverage; revise number of vehicles necessary to purchase nonstacking coverage."
HB66,213432,"Pistol or revolver; authorize to carry unless specifically prohibited by law."
HB67,213433,"Habitual offender; no plea bargaining for violent offenders."
HB68,213434,"Controlled substances; felony to bring into state, county or municipal facility."
