Row,id14060,id5584,id5585,id5587,id5589,id5599,id5601,id5620,id5622,id5623
id14060,1,0.857142857142857,0.736585365853659,0.746268656716418,0.859375,0.867647058823529,0.796791443850267,0.785714285714286,0.871134020618557,0.875
id5584,0.857142857142857,1,0.733333333333333,0.713846153846154,0.828571428571429,0.835866261398176,0.785714285714286,0.787974683544304,0.823343848580442,0.833846153846154
id5585,0.736585365853659,0.733333333333333,1,0.758409785932722,0.728706624605678,0.761329305135952,0.72258064516129,0.827044025157233,0.74294670846395,0.749235474006116
id5587,0.746268656716418,0.713846153846154,0.758409785932722,1,0.712460063897764,0.733128834355828,0.725490196078431,0.750798722044728,0.726984126984127,0.748447204968944
id5589,0.859375,0.828571428571429,0.728706624605678,0.712460063897764,1,0.816455696202532,0.77,0.789473684210526,0.803921568627451,0.836538461538462
id5599,0.867647058823529,0.835866261398176,0.761329305135952,0.733128834355828,0.816455696202532,1,0.805825242718447,0.839622641509434,0.842767295597484,0.895705521472393
id5601,0.796791443850267,0.785714285714286,0.72258064516129,0.725490196078431,0.77,0.805825242718447,1,0.760135135135135,0.846153846153846,0.839344262295082
id5620,0.785714285714286,0.787974683544304,0.827044025157233,0.750798722044728,0.789473684210526,0.839622641509434,0.760135135135135,1,0.8,0.827476038338658
id5622,0.871134020618557,0.823343848580442,0.74294670846395,0.726984126984127,0.803921568627451,0.842767295597484,0.846153846153846,0.8,1,0.89171974522293
id5623,0.875,0.833846153846154,0.749235474006116,0.748447204968944,0.836538461538462,0.895705521472393,0.839344262295082,0.827476038338658,0.89171974522293,1
