Row,id5506,id12223,id5494,id5489,id5492,id5508,id5499,id5549,id5528,id5568,id5500,id5569,id14436,id14440,id5543,id14442
id5506,0.75,0.75,0.666666666666667,1,1,0.75,0.5,1,0.25,0.25,0.666666666666667,1,1,0.75,1,0.75
id12223,0.666666666666667,1,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,1,0.333333333333333,0.333333333333333,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
id5494,0,1,1,1,1,1,0,1,1,NaN,1,0,1,1,1,1
id5489,1,0.5,0,1,0.5,1,1,0.5,0.5,0.5,0,1,1,1,1,1
id5492,0.666666666666667,0.333333333333333,1,1,0.666666666666667,1,0.333333333333333,0.333333333333333,1,1,0.333333333333333,0.666666666666667,NaN,NaN,0.333333333333333,NaN
id5552,1,1,1,1,1,1,1,1,0,1,1,1,NaN,NaN,1,NaN
id5508,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1
id5624,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1
id5499,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1
id5498,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1
id5563,0,0,NaN,1,0,1,0,0,1,1,0,0,NaN,NaN,0,NaN
id5549,1,1,1,1,1,0.5,0.5,1,0.5,0,1,1,1,0.5,1,0.5
id5528,0.666666666666667,0.5,1,1,0.333333333333333,1,0.666666666666667,0.666666666666667,1,1,0.666666666666667,0.666666666666667,1,1,0.333333333333333,0
id5568,0.6,0.5,0.75,0.8,0.6,1,0.6,0.6,1,1,0.5,0.6,1,1,0.6,0.75
id5500,1,0.5,0.5,0.5,0.5,1,0.5,0.5,1,1,1,0.5,1,1,0.5,1
id5569,0.5,0.5,0,1,0.5,1,1,0.5,0,0.5,0,1,0.5,0.5,0.5,0.5
id5533,0,0,0,1,0,1,1,0,1,1,1,1,NaN,NaN,0,NaN
id14436,1,1,0.5,1,1,1,1,1,0.5,0.5,0,1,1,1,1,1
id14440,1,0.5,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1
id5543,0.5,0.5,0.5,1,1,1,0.5,1,0,0,0,1,1,1,1,1
id5556,0,0,0,0,0,1,0,1,0,1,0,0,NaN,NaN,0,NaN
id14442,NaN,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
id5518,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1
