Row,id10580,id10581,id10582,id10583,id10585,id11402,id12222,id14060,id14193,id14765,id15697,id16531,id16532,id16533,id16534,id16535,id16536,id5541,id5579,id5580,id5581,id5583,id5584,id5585,id5587,id5589,id5590,id5592,id5594,id5595,id5597,id5598,id5599,id5601,id5602,id5604,id5605,id5606,id5608,id5609,id5610,id5612,id5614,id5616,id5619,id5620,id5621,id5622,id5623,id5627
id10580,39,8,12,10,10,NaN,9,14,20,9,3,NaN,8,2,9,NaN,NaN,NaN,7,18,9,11,13,21,21,7,8,9,17,22,10,14,11,10,8,8,10,8,10,10,8,11,8,8,28,7,11,17,24,19
id10581,8,39,8,8,24,9,8,1,11,NaN,NaN,NaN,NaN,6,NaN,7,9,7,7,8,8,9,17,10,13,15,17,12,18,8,18,13,14,20,8,26,17,8,8,14,17,24,8,8,6,12,8,7,16,10
id10582,12,8,42,8,11,NaN,15,17,3,2,NaN,2,4,4,2,4,NaN,NaN,23,26,11,12,19,12,8,22,16,9,13,21,11,22,9,11,19,12,12,8,8,20,11,8,29,9,6,14,8,24,14,23
id10583,10,8,8,27,8,NaN,9,6,2,NaN,15,7,NaN,NaN,NaN,1,6,NaN,14,8,8,10,9,13,13,10,10,23,9,10,8,21,10,8,8,8,16,21,9,9,8,22,9,8,8,12,9,19,9,8
id10585,10,24,11,8,39,17,8,1,5,NaN,NaN,NaN,NaN,NaN,NaN,6,9,6,7,8,8,22,23,13,12,15,17,8,9,8,30,8,16,23,8,34,8,8,8,14,16,14,8,8,9,13,11,7,7,8
id11402,NaN,9,NaN,NaN,17,21,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,8,17,NaN,NaN,8,12,NaN,NaN,NaN,21,NaN,8,7,NaN,15,4,NaN,4,6,4,NaN,NaN,NaN,NaN,4,2,NaN,NaN,NaN
id12222,9,8,15,9,8,NaN,35,4,NaN,NaN,7,4,NaN,3,NaN,7,NaN,NaN,17,13,24,8,9,11,15,17,16,12,8,8,9,8,8,13,20,9,23,8,27,13,15,8,17,8,6,20,9,11,19,20
id14060,14,1,17,6,1,NaN,4,43,10,10,12,11,2,NaN,10,NaN,9,NaN,12,24,3,4,15,2,16,12,3,9,2,21,1,20,NaN,1,9,2,NaN,7,1,8,1,13,17,NaN,13,2,1,18,15,21
id14193,20,11,3,2,5,NaN,NaN,10,33,9,NaN,NaN,5,NaN,9,6,NaN,6,NaN,7,NaN,NaN,NaN,12,12,2,NaN,6,8,10,NaN,10,NaN,3,NaN,9,2,NaN,2,1,NaN,7,2,NaN,14,1,NaN,7,14,10
id14765,9,NaN,2,NaN,NaN,NaN,NaN,10,9,17,NaN,2,6,NaN,11,NaN,NaN,6,NaN,8,NaN,NaN,NaN,6,7,2,NaN,NaN,5,9,NaN,NaN,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,14,2,6,NaN,7,8
id15697,3,NaN,NaN,15,NaN,4,7,12,NaN,NaN,47,8,NaN,NaN,NaN,NaN,8,NaN,19,11,9,11,15,11,18,4,14,19,NaN,7,10,18,12,7,6,NaN,28,17,20,NaN,NaN,23,NaN,NaN,4,16,8,14,9,11
id16531,NaN,NaN,2,7,NaN,NaN,4,11,NaN,2,8,16,NaN,NaN,2,5,9,NaN,NaN,2,NaN,NaN,NaN,4,5,7,NaN,14,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,7,5,5,NaN,9,7,NaN,NaN,2,NaN,12,NaN,NaN
