title,issue_codes,learning_coded,issue_ 1,issue_ 2,issue_ 3,issue_ 4,issue_ 5,issue_ 6,issue_ 7,issue_ 8,issue_ 9,issue_10,issue_11,issue_12,issue_13,issue_14,issue_15,issue_16,matched
Budget bill.,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714285714286,0,1
Charter schools.,4,4,0,0,0,0.587,0,0,0,0,0,0,0,0,0,0,0,0,1
School scholarships.,4,4,0,0,0.166666666666667,1.12,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0.0666666666666667,1
State and local administration.,12,12,0.5,0.333333333333333,0,0.04,0.4,0.25,0,0.166666666666667,0,0,1.16666666666667,1.24842222222222,0.4,0,1,0.6,1
Smoking ban in public places.,8,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Officeholder qualifications, nepotism, and public contracts.,11,11,0,0,0,0.08,0,0,0,0,0,0,0.583333333333333,0.222222222222222,0,0.166666666666667,0,0,1
Employee's right to work.,6,6,0,0.166666666666667,0,0.12,0,2.5,0.333333333333333,0.333333333333333,0,0,0.166666666666667,0.111111111111111,0.6,0,0.142857142857143,0.666666666666667,1
Public works projects.,13,13,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0.166666666666667,0.142857142857143,0,1
Selection of school board members.,4,4,0,0,0.333333333333333,1.16,0,0,0,0,0,0,0,0.444444444444444,0,0,0,0.0666666666666667,1
Compression release engine brakes.,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,1
Land application of industrial waste products.,7,7,0,0,0.166666666666667,0,0,0,1.66666666666667,0.166666666666667,0,0,0.0833333333333333,0,0,0.166666666666667,0.142857142857143,0,1
Renewable energy resources.,14,14,0,0,0,0,0,0,1.0262,0,0,0,0,0,0,1.5262,0,0.133333333333333,1
Access to supplemental nutrition assistance.,8,8,0,0.166666666666667,0,0,0,0,0,0.833333333333333,0,0,0.387,0,0,0,0,0.0666666666666667,1
Ballots and voting systems.,5,5,0,0,0,0,1.2,0,0.666666666666667,0,0,0,0,0,0.4,0.166666666666667,0,0,1
Employee representation campaigns.,6,6,0,0,0,0.12,0,1.5,0,0.333333333333333,0,0,0.166666666666667,0,0,0,0,0,1
Abortion matters.,8,8,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1
Arrest records.,3,12,0,0,0.333333333333333,0.04,0,0,0,0,0,0,0,0.387,0,0,0,0,0
