bill_number,bill_id,title
HB1,577821,"Dissemination of sexually oriented materials to minors; revise penalties."
HB2,577796,"Chancery Court; provide additional chancellor for Fourth Chancery Court District."
HB3,577886,"MS Charter School Authorizer Board; provide protection from civil liability under the MS Tort Claims Act."
HB4,577857,"Memorial intersection; designate in Clarke County for Chief Randy Boykin."
HB5,577795,"Dental insurance; require State Designated Dental Insurance Plan as option for state employees."
HB6,577766,"Motor vehicles; require check with Department of Revenue before scrapping."
HB7,577793,"Controlled substances; revise hallucinogenic substances and synthetic cannabinoids."
HB8,577822,"Ad valorem tax; provide partial exemption for certain business personal property."
HB9,577836,"Ad valorem tax; exempt certain business personal property."
HB10,577819,"Required weapons training course for enhanced carry permit; exempt servicemen."
HB11,577800,"Voting machines; require all to be stored in one location that is chosen by election commissioners."
HB12,577763,"Student transfer; prohibit school boards in districts graded ""D"" or ""F"" from denying to better performing district."
HB13,577756,"Highways; require MDOT install rumble strips along shoulders of newly constructed or resurfaced roadways."
HB14,577866,"Municipal council and board of aldermen meeting; authorize majority of quorum to transact business."
HB15,577782,"State advertising; prohibit elected and appointed officers from publicly participating in."
HB16,577774,"Irrigation wells; require meters to be placed on."
HB17,577829,"Supplemental Legislative Retirement Plan; new legislators not members and current members don't earn additional credit."
HB18,577758,"Sales tax; exempt retail sales of school supplies during the last weekend in July."
HB19,577876,"Death Benefits Trust Fund; include emergency management personnel, volunteer firefighters and fire chiefs."
HB20,577765,"Seat belt laws; revise penalties for violations of."
HB21,577768,"Utility worker; killing of shall be capital murder."
HB22,577783,"Utility Worker Protection Act; create."
HB23,577867,"Capital murder; include killing of public utility workers and emergency responders."
HB24,577778,"Distinctive motor vehicle license tags; authorize for various purposes."
HB25,577757,"Department of Corrections; revise contract amount that must be approved by Public Procurement Review Board."
HB26,577893,"Campaign contributions; restrict use by candidate for purposes unrelated to election campaign."
HB27,577769,"Adoption; revise home study and residency requirements."
HB28,577831,"MS Qualified Health Center Grant Program; extend date for authority to make grants under."
HB29,577858,"Emergency contraception; require prescription to dispense to persons under 18 years old."
HB30,577855,"Lobbying; prohibit legislator from engaging in for four years after leaving office."
HB31,577785,"Student transfer; reduce distance from 30 to 20 miles to permit enrollment in adjacent district."
HB32,577781,"Partition of property; revise method of appointing freeholders."
HB33,577789,"Ad valorem taxes; allow local contribution to follow students who transfer to another school district."
HB34,577834,"Appropriation; Department of Public Safety to provide funding for drug task forces."
HB35,577801,"Sales tax; reduce rate on retail sales of motorcycles."
HB36,577808,"Homestead exemption; increase."
HB37,577751,"Reappraisal; local taxing units must publish certain information regarding to receive homestead exemption reimbursement."
HB38,577752,"Bail; provide restrictions."
