bill_number,bill_id,title
HB1,571375,"Criminal Injuries Compensation Fund; emergency award to claimant shall not exceed $3000, etc."
HB2,571390,"Commonwealth Transportation Board; statewide prioritization process for project selection."
HB3,571376,"Transportation funding; all provisions of 2013 Session omnibus bill to expire on July 1, 2014."
HB4,571389,"Hybrid electric motor vehicles; repeals annual license tax, refunds."
HB5,571379,"Electoral board members and general registrars; reimbursement to localities for cost of expenses."
HB6,571382,"Primary elections; cost and reimbursement to localities."
HB7,571378,"Restoration of civil right to vote; person convicted of nonviolent felony, eligibility to register."
HB8,571371,"Concealed handgun permits; decreases local law-enforcement background investigation fee."
HB9,571394,"Parking of certain vehicles; adds Town of Blackstone to list of towns that may regulate or prohibit."
HB10,571393,"Judges; retirement allowance and service after retirement."
HB11,571400,"Public schools; textbooks approved by BOE shall note Sea of Japan is also referred to as East Sea."
HB12,571464,"Patent infringement; assertions made in bad faith, bonding requirement not to exceed $250,000, etc."
HB13,571451,"Telecommunications providers; notices of data releases to federal agencies."
HB14,571457,"General appropriation bills; expiration date."
HB15,571506,"Conflict of Interests Acts, State and Local Government and General Assembly; gifts, disclosures."
HB16,571504,"Shenandoah National Park, Commission on Reconveyance of; established, report."
HB17,571568,"Electronic communication or remote computing devices; warrant requirement for certain records."
HB18,571725,"Health insurance; health care plan that includes contraception coverage, etc."
HB19,571722,"Health insurance; contraception coverage if subscriber or enrollee requests such coverage."
HB20,571721,"Health insurance; no health insurance plan is required to include contraception coverage, etc."
HB21,571724,"School boards, local; employee firearms training."
HB22,571867,"Unemployment compensation; calculating an employer's benefit ratio."
HB23,571908,"Warning lights on certain vehicles; members of fire depts., etc., may use no more than 2 systems."
HB24,571974,"Contracts; recording requirements."
HB25,571956,"Public service companies; updates citation to federal Public Utility Holding Company Act, etc."
HB26,571987,"Electronic cigarettes; prohibit purchase, etc., by minors."
HB27,572011,"Vehicle weight limits; extensions apply also to interstates designated as state primary highways."
HB28,572018,"Higher educational institutions; admission of students domiciled in Virginia."
HB29,573746,"Budget Bill."
HB30,573740,"Budget Bill."
HB31,572027,"Primary elections; voter registration by political party, additional information."
HB32,572023,"Minimum wage; increases wage from its current federally mandated level."
HB33,572039,"Pediatric oral health; essential health benefits."
HB34,572042,"High schools, public; local school boards to set daily school calendar, etc."
HB35,572049,"School calendar; local school boards responsible for setting and determining opening day."
HB36,572040,"Student-athletes; Board of Education to update its guidelines for policies on concussions."
HB37,572035,"Absentee voting; persons 65 years of age or older added to list to vote by absentee ballot, etc."
