bill_number,bill_id,title
HB1,384148,"Hospitals; Department of Health shall authorize to establish and operate off-campus emergency departments."
HB2,384115,"Courts; prohibit applying foreign law."
HB3,384083,"Crimes; provide procedure for expunction of certain felonies of persons under 18 years of age at time of conviction."
HB4,384051,"Motorcycle helmets; exempt Shriners while participating in a parade."
HB5,384018,"Posting of bond as a condition of parole or early release by a defendant; authorize."
HB6,383987,"Owners of nonproducing mineral estates and certain leasehold interests; require to pay certain portion of property taxes."
HB7,383955,"Beer; authorize manufacture of beer of more than 5% by weight for sale in another state."
HB8,383924,"Housing Loan Assistance Pilot Program; create."
HB9,383891,"Hancock County Tourism Development Bureau; extend repealer on."
HB10,383857,"Firearms; prohibit altering serial number."
HB11,383828,"Special election; revise how a board of supervisors may call to fill a vacancy."
HB12,383794,"Beer breweries; allow to provide certain samples."
HB13,383764,"Low-speed vehicles/golf carts; authorize use of on certain public highways, roads and streets."
HB14,383733,"Mississippi Skill Standards Board; create as advisory board on industry standards."
HB15,383708,"State employees with certain licenses; require to be paid same as other state employees with license if certain skills used."
HB16,385153,"Child Protection Act of 2012; enact."
HB17,388065,"Vulnerable persons; revise law."
HB18,388071,"Emerging Crops Fund; increase amount of assistance authorized for certain businesses engaged in peanut processing."
HB19,388078,"Rural Fire Truck Acquisition Assistance Program; clarify certain provisions regarding."
HB20,388086,"Income tax; exclude overtime compensation from gross income."
HB21,388094,"Housing repair grant program; authorize issuance of bonds to provide funds for grants to low income individuals for home repair."
HB22,388100,"Trimester School Year Pilot Program; establish."
HB23,388107,"Tuition waiver; provide for certain foster and adopted children and wards of the state to attend a state-supported IHL."
HB24,388114,"""Mississippi Recreational Use Act""; create."
HB25,388122,"Homemade beer; authorize making of homemade beer for domestic or household uses."
HB26,388130,"Beer; increase the amount of alcohol that it may contain from 5% by weight to 8% by weight."
HB27,388137,"State Parole Board; require recommendation be made to Governor either in support or nonsupport of requested pardon."
HB28,388145,"Medicaid and CHIP; redetermination of eligibility for shall be available by mail in hardship cases."
HB29,388151,"Trusty status; prohibit individual convicted of murder or capital murder from becoming eligible for."
HB30,388160,"Hunting; provide for a spring season for the hunting of squirrel."
HB31,388169,"Financial Literacy Programs; expand grades in which school districts may implement."
HB32,388176,"Health insurance policies; require coverage for certain obesity treatments."
HB33,388182,"Juneteenth Freedom Day; designate as day of commemoration, not paid legal holiday."
HB34,388190,"School districts; require administrative consolidation into one district per county."
HB35,388198,"Kevser Ermin Memorial Highway; designate certain segment of MS 314 in Lafayette County as."
HB36,388208,"Gubernatorial pardon; require applicant to give notice to district attorney to hold public hearing."
