bill_number,bill_id,title
HB1,838690,"School boards; revise certain provisions regarding continuing education for members."
HB2,838845,"Education Achievement Council; revise composition by adding two additional members."
HB3,838677,"Exceptional children; require school districts to develop policy for the discipline of."
HB4,838923,"Parental Involvement and Accountability Act; create."
HB5,838776,"English Language Arts and Mathematics-Based Promotion Act; establish to achieve grade-level ELAM proficiency by end of Grade 4."
HB6,838670,"Mississippi Skill Standards Board; create as an advisory board on industry standards."
HB7,838822,"Boards of Education; require those in districts having a mayor-council form of government to be elected."
HB8,838870,"Personal care homes; require licensure and regulation of those providing living arrangements for one or more persons."
HB9,838783,"Worker's Compensation Law; reduce certain repayment to employer after third party lawsuit due to attributable fault."
HB10,838605,"Election; require Secretary of State to authorize early voting for overseas military."
HB11,838726,"Prohibitions against charges with respect to integrity of candidate; revise to include certain charges regarding candidate's public life."
HB12,838678,"Hospitals; require to examine persons at ER with sickle cell disease symptoms within four hours after admission."
HB13,838623,"Electronic device purchasing machines; regulate."
HB14,838631,"School superintendents; impose three-year moratorium on salary increases for all and prescribe method for determining raises."
HB15,838738,"Electronic Learning Device; require school districts to provide each student in K-12 with."
HB16,838710,"Municipal annexation; provide that an election shall be held to vote on the question."
HB17,838919,"County vehicles and road equipment; authorize boards of supervisors to allow use between county departments."
HB18,838869,"Proclamation of a local emergency; allow boards of supervisors to authorize certain county officials to declare."
HB19,838904,"Governing authorities of counties and cities; authorize to recover actual costs of enforcing ordinance, zoning law or regulation."
HB20,838880,"Governing authorities of counties and cities; authorize to adopt rules that provide authority to prepay certain expenses."
HB21,838599,"Administrator's license; revoke those whose districts or schools are considered failing for three consecutive years."
HB22,838815,"Boards of education; revise qualifications of and set term limits for districts having a mayor-council form of government."
HB23,838667,"Venomous snakes; classify as inherently dangerous to humans."
HB24,838752,"DFA; revise the definition of ""construction"" to clarify the use of state funds for certain projects on private property."
HB25,838810,"DFA; clarify and update inventory of state real properties under the authority, general supervision and oversight of."
HB26,838824,"MS Sports Hall of Fame &amp; Dizzy Dean Museum; authorize DFA to extend lease of for a term not to exceed 20 years."
HB27,838733,"Securities; require notice filings for certain types of federal covered securities."
HB28,838808,"Open primaries; authorize."
HB29,838827,"School districts; require to submit reports to PEER."
HB30,838913,"School term; revise start to begin no sooner than the first Tuesday after Labor Day and reduce number of days to 170."
HB31,838893,"Open primaries elections; authorize for state, county and municipal offices."
HB32,838636,"School district efficiency; conduct feasibility study on the administration of."
HB33,838906,"Equal Opportunity for Students with Special Needs Act; revise definition of ""eligible student"" to include those with an active IEP for past five years."
HB34,838826,"Financial advisors; require those appointed by the State Supt. of Public Education to certain school districts to be independent contractors."
HB35,838818,"Compulsory-school-age child; revise definition of by increasing required age to 18 years."
HB36,838702,"Student transfer; prohibit school boards in ""D"" or ""F"" rated districts from denying to better performing district."
HB37,838713,"Dyslexia Therapy Scholarship for Students with Dyslexia Program; delete repealer on."
HB38,838731,"School attendance officers; require to visit home of certain children within 72 hours of unexcused absence."
HB39,838718,"Eleventh Grade Students; require to take adult basic education High School Equivalency Diploma test for senior privilege eligibility."
HB40,838624,"Cosmetology Board licenses; require that each license contain current passport photograph."
HB41,838875,"Interstate Medical Licensure Compact; create."
HB42,838655,"Public benefits; require drug testing for all recipients of state or local funded benefits."
HB43,838791,"Community Colleges; authorize to develop and implement courses for state inmates."
HB44,838635,"Public hearings pertaining to municipal, county &amp; school district budgets; specify when such hearings may commence."
HB45,838771,"Elections Contests; clarify jurisdiction of circuit court."
HB46,838744,"Superintendent of education; change from appointive to elective in certain county and establish term of four years."
HB47,838773,"School accountability standards; revise the manner by which accreditation ratings are assigned and require independent assessment by State Auditor."
HB48,838788,"Home rule improvement; enact for local school districts."
HB49,838900,"School personnel; prohibit from engaging in political activity while in performance of official duties."
HB50,838793,"Science Curriculum; prohibit any state board or local school board prohibition on teacher providing instruction of evolution theory."
HB51,838866,"Literacy-Based Promotion Act; revise and clarify provisions relating to retention to 3rd Grade accountability assessments."
HB52,838612,"Literacy-Based Promotion Act; clarify training component provided to teachers by the State Dept. of Education."
HB53,838606,"School accountability standards; revise the manner by which accreditation ratings are assigned and require independent assessment by State Auditor."
HB54,838666,"Writing curriculum; require SBE to establish curriculum for the teaching of manuscript handwriting."
HB55,838885,"Council on Education Technology; reestablish and define responsibilities."
HB56,838832,"Home schooled students; authorize participation in public school extracurricular activities."
HB57,838609,"Student grades; enhance penalty imposed on school districts for influencing falsification of."
HB58,838663,"School term; revise to prohibit beginning before last Monday in August."
HB59,838837,"School term; prohibit public schools from opening before Labor Day."
HB60,838846,"School calendar; reduce number of days in scholastic year to 170."
HB61,838852,"School district accreditation; require compliance with constitutional provisions and state laws as a minimum requirement for."
HB62,838767,"School curriculum; require voter education as a component of the U.S. government course."
HB63,838755,"Official state poem; designate ""I Am Mississippi"" as."
HB64,838897,"Telephone Solicitation Act; revise to include text messages and telephone facsimile solicitations as prohibitions under."
HB65,838800,"Writing curriculum; require SBE to establish curriculum for the teaching of cursive writing."
HB66,838877,"Open primaries elections; authorize for state, county and municipal offices."
HB67,838721,"Public school students; authorize use of community service as a disciplinary alternative to suspension or expulsion."
HB68,838656,"Remedial education courses of instruction; create program to require students with certain test scores to take."
HB69,838692,"Teach For America instructors; allow one-year exemption to pass required reading instruction assessment for initial elementary education licensure."
HB70,838641,"Nursing; delete requirement that advanced practice registered nurses have collaborative relationship with physician."
HB71,838648,"Nutritional chart; require to be displayed prominently in school cafeteria."
HB72,838770,"Dental insurance; require State Designated Dental Insurance Plan as option for state employees."
HB73,838756,"Mississippi Patient Protection Act of 2016; create."
HB74,838711,"Jackson County Utility Authority Study Committee; create."
HB75,838600,"Lobbyists; prohibit agencies, universities and colleges from hiring contract lobbyists with public funds."
HB76,838785,"County school board members; require to declare party affiliation."
HB77,838661,"Administrative expenditures; require each school district to annually reduce amount budgeted for."
HB78,838898,"School accreditation; impose administrative sanctions upon districts having had accreditation withdrawn by the SBE."
HB79,838886,"Teacher certification; provide exemption for qualification for licensure to certain individuals."
HB80,838698,"School bus transportation routes; require certain entities to annually report bridge status to local public school districts."
HB81,838857,"Death certificates; Vital Records shall issue five copies without charge for deceased veterans."
HB82,838679,"Acupuncturists; allow to treat patients without written referral or prescription from physician subject to certain conditions."
HB83,838922,"Acupuncturists; may treat patients for chronic or acute pain without physician referral if have analgesic drug Rx."
HB84,838750,"Unattended vehicles; repeal violation for leaving engine running."
HB85,838687,"Election commissioners; revise to be a nonpartisan office."
HB86,838833,"Conjugal visits; prohibit for offenders committed to the Department of Corrections."
HB87,838705,"First Grade; allow any child who turns six during calendar year to start at the beginning of school year."
HB88,838685,"Health Insurance policies; require coverage for hearing aids and services for children under 21."
HB89,838708,"Health care services; require disclosure of an arrangement that results in payor paying a provider a reduced rate for."
HB90,838688,"Individuals with Disabilities Education Act (IDEA); use of private health insurance to pay for services shall not affect insurance."
HB91,838651,"Student transfer; prohibit board of failing districts from denying requests to better performing schools or districts."
HB92,838619,"Task force to address the disparity of African-American males in the judicial system; create."
HB93,838856,"Health insurance; revise assignment of benefits provisions regarding."
HB94,838741,"Church-owned vehicles; exempt from commercial driver's license requirement if designed to carry 30 passengers or less."
HB95,838671,"Commercial driver's license; authorize driver with diabetes to be examined by board certified advanced diabetes management nurse."
HB96,838724,"Headlights; require to be used whenever windshield wipers necessitated."
HB97,838801,"Highways; require MDOT to install rumble strips along shoulders of newly constructed or resurfaced roadways."
HB98,838596,"Left-hand lane; allow driving only if passing, turning or in an emergency."
HB99,838862,"Parole Board; bring forward code section for purposes of possible amendment."
HB100,838735,"Conjugal visits; prohibit for offenders committed to the custody of the Department of Corrections."
HB101,838700,"Check cashers; require to extend one check to cover amount of loan for all loans exceeding $100.00."
HB102,838757,"Check cashers; reduce maximum rate of interest that may be charged for cashing checks."
HB103,838844,"Counties; authorize to pay poll workers mileage."
HB104,838766,"The Mississippi Recall Act; enact."
HB105,838813,"Traffic cameras; require footage from to be stored for 24 hours before deleting from system."
HB106,839238,"Offenders on post release supervision; strike reference that an arrest is a technical violation."
HB107,839086,"Parole board; authorize to revoke parole and impose remaining time if parolee committs a felony or absconds supervision."
HB108,839244,"Offender who absconds supervision; provide period of parole shall not toll and shall not reduce period of parole supervision."
HB109,839063,"Motorcycles; authorize to proceed around stalled traffic using shoulder of roadway."
HB110,839235,"School buses; clarify that motor vehicle need not stop when meeting or passing on divided highway."
HB111,838950,"Comprehensive Health Insurance Risk Pool; revise eligibility for coverage/clarify when association may close enrollment."
HB112,839199,"MS Responder Management System; registrants receive workers' compensation benefits for death or injury responding to emergency."
HB113,839102,"Insurance companies; require to offer property and casualty insurance if offered in another state."
HB114,839049,"State buildings; rename the PERS building as the ""Timothy Alan (Tim) Ford Building."""
HB115,839006,"Eminent domain; require entities exercising for certain pipelines to operate pipeline as a common carrier."
HB116,839250,"Commission on Environmental Quality; require that a majority of members not receive significant income from persons regulated under Clean Air Act."
HB117,839246,"Ad valorem tax; authorize partial exemption for agricultural land that is converted to a residential use."
HB118,839090,"Counties; authorize to make donations to domestic violence shelters and rape crisis centers."
HB119,839184,"Write-in candidates; authorize to run in certain general elections."
HB120,838951,"Election Commissioner; require to resign one year before qualifying for another office."
