subject_categories,subject_count
"ASEAN countries",3
"Abortion",163
"Academic performance and assessments",312
"Access Board",19
"Accidents",100
"Accounting and auditing",477
"Administrative Conference of the U.S.",11
"Administrative law and regulatory procedures",2892
"Administrative remedies",940
"Adoption and foster care",208
"Adult day care",69
"Adult education and literacy",82
"Advanced technology and technological innovations",300
"Advisory bodies",988
"Afghanistan",118
"Africa",275
"African Development Foundation",12
"Age discrimination",23
"Aging",234
"Agricultural conservation and pollution",110
"Agricultural education",55
"Agricultural equipment and machinery",13
"Agricultural insurance",60
"Agricultural marketing and promotion",72
"Agricultural practices and innovations",86
"Agricultural prices, subsidies, credit",129
"Agricultural research",75
"Agricultural trade",108
"Agriculture and Food",7
"Air quality",359
"Alabama",72
"Alaska",405
"Alaska Natives and Hawaiians",165
"Albania",6
"Alcoholic beverages",62
"Algeria",3
"Allergies",20
"Alliances",129
"Allied health services",54
"Alternative and renewable resources",574
"Alternative dispute resolution, mediation, arbitration",97
"Alternative treatments",62
"American Battle Monuments Commission",9
"American Samoa",81
"Anguilla",3
"Animal and plant health",69
"Animal protection and human-animal relationships",129
"Animals",2
"Antigua and Barbuda",7
"Appalachian Regional Commission",14
"Appropriations",994
"Aquaculture",45
"Aquatic ecology",139
"Arab-Israeli relations",116
"Archaeology and anthropology",28
"Architect of the Capitol",14
"Arctic Ocean",36
"Arctic and polar regions",71
"Area studies and international education",38
"Argentina",13
"Arizona",179
"Arkansas",28
"Armed Forces Retirement Home",19
"Armed Forces and National Security",9
"Armenia",7
"Arms control and nonproliferation",236
"Army Corps of Engineers",66
"Art, artists, authorship",125
"Arts, Culture, Religion",1
"Asia",596
"Assault and harassment offenses",269
"Astronomy",12
"Athletes",175
"Atlantic Coast (U.S.)",8
"Atlantic Ocean",59
"Atmospheric science and weather",136
"Australia",10
"Austria",1
"Aviation and airports",552
"Azerbaijan",6
"Bahamas",6
"Bahrain",17
"Bangladesh",14
"Bank accounts, deposits, capital",355
"Banking and financial institutions regulation",431
"Bankruptcy",160
"Barbados",4
"Behavioral sciences",8
"Belarus",5
"Belgium",11
"Belize",8
"Benin",1
"Bering Sea",1
"Bermuda",8
"Bhutan",1
"Biological and life sciences",31
"Birds",105
"Birth defects",33
"Blood and blood diseases",28
"Bolivia",7
"Books and print media",28
"Border security and unlawful immigration",421
"Bosnia and Herzegovina",14
"Botswana",1
"Brazil",12
"British Virgin Islands",3
"Broadcasting Board of Governors",16
"Broadcasting, cable, digital technologies",128
"Brunei",2
"Budget deficits and national debt",559
"Budget process",304
"Building construction",305
"Bulgaria",4
"Burkina Faso",1
"Burma",27
"Burundi",2
"Business education",55
"Business ethics",92
"Business expenses",45
"Business investment and capital",451
"Business records",475
"Buy American requirements",122
"California",424
"Cambodia",23
"Cameroon",9
"Canada",199
"Cancer",205
"Capital gains tax",81
"Cardiovascular and respiratory health",169
"Caribbean Sea",4
"Caribbean area",319
"Cayman Islands",7
"Cell biology and embryology",31
"Cemeteries and funerals",134
"Census and government statistics",146
"Centers for Disease Control and Prevention (CDC)",40
"Central African Republic",15
"Central America",2
"Central Intelligence Agency (CIA)",43
"Chad",13
"Charitable contributions",132
"Chemical and biological weapons",95
"Chemistry",20
