bill_number,bill_id,title
LB1,214487,"Revisor bill to repeal an obsolete statute relating to the Republican River"
LB2,214489,"Revisor bill to repeal obsolete statutes relating to the Water Policy Task Force, ground water conservation districts, and certain provisional permits"
LB3,214490,"Revisor bill to repeal an obsolete statute in the Nebraska Construction Lien Act governing the enforcement of liens that arose prior to January 1, 1982"
LB4,214492,"Revisor bill to repeal an obsolete statute relating to the Small Business Development Authority and the Small Business Investment Fund"
LB5,214494,"Revisor bill to repeal an obsolete statute relating to the Research and Development Authority"
LB6,214496,"Revisor bill to eliminate obsolete language and reference to a repealed statute in the Judges Retirement Act relating to acting judges of the county court"
LB7,214498,"Revisor bill to repeal an obsolete statute relating to workers' compensation"
LB8,214500,"Revisor bill to repeal an obsolete statute relating to schools"
LB9,214502,"Revisor bill to change erroneous reference to previous sections rather than chapter in civil procedure statutes"
LB10,214504,"Revisor bill to clarify reference to the Nebraska Retirement Systems Committee"
LB11,214506,"Revisor bill to correct an internal reference in the Employment Security Law"
LB12,214508,"Eliminate ""without parole"" provisions relating to life imprisonment"
LB13,214509,"Change provisions relating to life imprisonment without parole"
LB14,214510,"Change fees received by registers of deeds, county clerks, district court clerks, and the Secretary of State"
LB15,214511,"Change district court execution of judgment provisions"
LB16,214512,"Change composition of certain district court judicial districts"
LB17,214513,"Change civil procedure complete court record provisions"
LB18,214514,"Provide for distribution of allocations from the federal Education Jobs Fund"
LB19,214515,"Prohibit the use of certain drug substances as prescribed"
LB20,214516,"Regulate the sale of methamphetamine precursors"
LB21,214517,"Change provisions relating to ballots cast by presidential electors"
LB22,214518,"Adopt the Mandate Opt-Out and Insurance Coverage Clarification Act"
LB23,214519,"Change renewal and fee provisions of the Nebraska Real Estate License Act"
LB24,214520,"Provide training requirements under the Nebraska Real Estate License Act"
LB25,214521,"Provide exemptions relating to real property for asset management companies"
LB26,214522,"Adopt the Private Transfer Fee Obligation Act"
LB27,214523,"Change appropriations for water power and water well registration fees"
LB28,214524,"Change provisions relating to chemigation"
LB29,214525,"Change provisions relating to the use of certain funds by the Department of Environmental Quality"
LB30,214526,"Change the Environmental Protection Act relating to composting sites and references to federal law"
LB31,214527,"Change supplemental agricultural appropriation of water provisions"
LB32,214528,"Change dam and appropriation application approval provisions"
LB33,214529,"Change valuation of agricultural and horticultural land"
LB34,214530,"Exempt religious residential facilities from certain provisions of the Health Care Facility Licensure Act"
LB35,214531,"Change oversize vehicle permit provisions and exceptions for towing disabled vehicles"
LB36,214532,"Provide for a vote regarding adding fluoride to the drinking water supply"
LB37,214533,"Provide requirements for access to information for government audits"
LB38,214534,"Change membership provisions relating to public power district boards"
LB39,214535,"Change licensure provisions for interpreters for deaf and hard of hearing persons"
